"location","sim_type","period","date","variable","var_type","value"
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",40
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",683
"Nevada","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",50
"Nevada","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",3
"Nevada","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",646
"Nevada","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",65
"Nevada","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",3
"Nevada","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",659
"Nevada","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",76
"Nevada","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",4
"Nevada","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",689
"Nevada","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",86
"Nevada","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",5
"Nevada","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",700
"Nevada","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",105
"Nevada","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",7
"Nevada","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",714
"Nevada","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",104
"Nevada","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",8
"Nevada","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",725
"Nevada","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",128
"Nevada","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",9
"Nevada","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",721
"Nevada","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",132
"Nevada","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",10
"Nevada","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",718
"Nevada","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",140
"Nevada","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",11
"Nevada","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",704
"Nevada","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",159
"Nevada","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",3
"Nevada","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",13
