"location","sim_type","period","date","variable","var_type","value"
"California","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",2
"California","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",13
"California","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",3365
"California","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",291
"California","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",3
"California","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",15
"California","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",4135
"California","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",353
"California","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",3
"California","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",20
"California","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",4159
"California","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",408
"California","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",3
"California","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",23
"California","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",4771
"California","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",495
"California","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",4
"California","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",28
"California","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",5190
"California","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",574
"California","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",4
"California","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",33
"California","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",5686
"California","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",661
"California","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",5
"California","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",41
"California","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",5879
"California","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",781
"California","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",6
"California","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",48
"California","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",6039
"California","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",947
"California","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",7
"California","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",57
"California","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",5923
"California","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",998
"California","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",9
"California","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",66
"California","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",6380
"California","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",1084
"California","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",12
"California","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",76
"California","linear_increase_sd","Past",2020-04-02,"daily_all_infections","lower_95",6120
"California","linear_increase_sd","Past",2020-04-02,"daily_cases","lower_95",1262
