"variable","sim_type","location","days_ahead","conf","percent_coverage","percent_coverage_roll","n"
"daily_cases","linear_increase_sd","Alabama",24,95,0.21978021978022,0.164835164835165,91
"daily_cases","linear_increase_sd","Alabama",25,80,0.111111111111111,0.1,90
"daily_cases","linear_increase_sd","Alabama",25,90,0.133333333333333,0.133333333333333,90
"daily_cases","linear_increase_sd","Alabama",25,95,0.144444444444444,0.144444444444444,90
"daily_cases","linear_increase_sd","Alabama",26,80,0.1,0.0888888888888889,90
"daily_cases","linear_increase_sd","Alabama",26,90,0.111111111111111,0.1,90
"daily_cases","linear_increase_sd","Alabama",26,95,0.122222222222222,0.122222222222222,90
"daily_cases","linear_increase_sd","Alabama",27,80,0.0666666666666667,0.0777777777777778,90
"daily_cases","linear_increase_sd","Alabama",27,90,0.0777777777777778,0.0888888888888889,90
"daily_cases","linear_increase_sd","Alabama",27,95,0.1,0.0888888888888889,90
"daily_cases","linear_increase_sd","Alabama",28,80,0.0666666666666667,0.0777777777777778,90
"daily_cases","linear_increase_sd","Alabama",28,90,0.0777777777777778,0.0777777777777778,90
"daily_cases","linear_increase_sd","Alabama",28,95,0.0777777777777778,0.0888888888888889,90
"daily_cases","linear_increase_sd","Alaska",0,80,0.615384615384615,0.826923076923077,52
"daily_cases","linear_increase_sd","Alaska",0,90,0.711538461538462,0.865384615384615,52
"daily_cases","linear_increase_sd","Alaska",0,95,0.75,0.884615384615385,52
"daily_cases","linear_increase_sd","Alaska",1,80,0.66304347826087,0.782608695652174,92
"daily_cases","linear_increase_sd","Alaska",1,90,0.75,0.891304347826087,92
"daily_cases","linear_increase_sd","Alaska",1,95,0.782608695652174,0.902173913043478,92
"daily_cases","linear_increase_sd","Alaska",2,80,0.673913043478261,0.760869565217391,92
"daily_cases","linear_increase_sd","Alaska",2,90,0.695652173913043,0.815217391304348,92
"daily_cases","linear_increase_sd","Alaska",2,95,0.728260869565217,0.858695652173913,92
"daily_cases","linear_increase_sd","Alaska",3,80,0.58695652173913,0.728260869565217,92
"daily_cases","linear_increase_sd","Alaska",3,90,0.673913043478261,0.782608695652174,92
"daily_cases","linear_increase_sd","Alaska",3,95,0.75,0.847826086956522,92
"daily_cases","linear_increase_sd","Alaska",4,80,0.597826086956522,0.706521739130435,92
"daily_cases","linear_increase_sd","Alaska",4,90,0.684782608695652,0.793478260869565,92
"daily_cases","linear_increase_sd","Alaska",4,95,0.706521739130435,0.826086956521739,92
"daily_cases","linear_increase_sd","Alaska",5,80,0.576086956521739,0.728260869565217,92
"daily_cases","linear_increase_sd","Alaska",5,90,0.652173913043478,0.804347826086957,92
"daily_cases","linear_increase_sd","Alaska",5,95,0.673913043478261,0.847826086956522,92
"daily_cases","linear_increase_sd","Alaska",6,80,0.630434782608696,0.695652173913043,92
"daily_cases","linear_increase_sd","Alaska",6,90,0.673913043478261,0.793478260869565,92
"daily_cases","linear_increase_sd","Alaska",6,95,0.717391304347826,0.826086956521739,92
"daily_cases","linear_increase_sd","Alaska",7,80,0.66304347826087,0.684782608695652,92
"daily_cases","linear_increase_sd","Alaska",7,90,0.695652173913043,0.771739130434783,92
"daily_cases","linear_increase_sd","Alaska",7,95,0.728260869565217,0.815217391304348,92
"daily_cases","linear_increase_sd","Alaska",8,80,0.641304347826087,0.673913043478261,92
"daily_cases","linear_increase_sd","Alaska",8,90,0.695652173913043,0.760869565217391,92
"daily_cases","linear_increase_sd","Alaska",8,95,0.728260869565217,0.815217391304348,92
"daily_cases","linear_increase_sd","Alaska",9,80,0.5,0.66304347826087,92
"daily_cases","linear_increase_sd","Alaska",9,90,0.597826086956522,0.75,92
"daily_cases","linear_increase_sd","Alaska",9,95,0.684782608695652,0.793478260869565,92
"daily_cases","linear_increase_sd","Alaska",10,80,0.510869565217391,0.652173913043478,92
"daily_cases","linear_increase_sd","Alaska",10,90,0.608695652173913,0.739130434782609,92
"daily_cases","linear_increase_sd","Alaska",10,95,0.66304347826087,0.75,92
"daily_cases","linear_increase_sd","Alaska",11,80,0.554347826086957,0.619565217391304,92
"daily_cases","linear_increase_sd","Alaska",11,90,0.652173913043478,0.739130434782609,92
"daily_cases","linear_increase_sd","Alaska",11,95,0.695652173913043,0.760869565217391,92
"daily_cases","linear_increase_sd","Alaska",12,80,0.580645161290323,0.612903225806452,93
"daily_cases","linear_increase_sd","Alaska",12,90,0.645161290322581,0.688172043010753,93
"daily_cases","linear_increase_sd","Alaska",12,95,0.688172043010753,0.752688172043011,93
"daily_cases","linear_increase_sd","Alaska",13,80,0.580645161290323,0.602150537634409,93
"daily_cases","linear_increase_sd","Alaska",13,90,0.634408602150538,0.655913978494624,93
"daily_cases","linear_increase_sd","Alaska",13,95,0.67741935483871,0.741935483870968,93
"daily_cases","linear_increase_sd","Alaska",14,80,0.537634408602151,0.56989247311828,93
"daily_cases","linear_increase_sd","Alaska",14,90,0.612903225806452,0.67741935483871,93
"daily_cases","linear_increase_sd","Alaska",14,95,0.655913978494624,0.720430107526882,93
"daily_cases","linear_increase_sd","Alaska",15,80,0.456521739130435,0.543478260869565,92
"daily_cases","linear_increase_sd","Alaska",15,90,0.580645161290323,0.645161290322581,93
"daily_cases","linear_increase_sd","Alaska",15,95,0.623655913978495,0.720430107526882,93
"daily_cases","linear_increase_sd","Alaska",16,80,0.423913043478261,0.489130434782609,92
"daily_cases","linear_increase_sd","Alaska",16,90,0.505376344086022,0.56989247311828,93
"daily_cases","linear_increase_sd","Alaska",16,95,0.56989247311828,0.688172043010753,93
"daily_cases","linear_increase_sd","Alaska",17,80,0.347826086956522,0.41304347826087,92
"daily_cases","linear_increase_sd","Alaska",17,90,0.462365591397849,0.526881720430108,93
"daily_cases","linear_increase_sd","Alaska",17,95,0.537634408602151,0.612903225806452,93
"daily_cases","linear_increase_sd","Alaska",18,80,0.369565217391304,0.369565217391304,92
"daily_cases","linear_increase_sd","Alaska",18,90,0.478260869565217,0.478260869565217,92
"daily_cases","linear_increase_sd","Alaska",18,95,0.526881720430108,0.548387096774194,93
"daily_cases","linear_increase_sd","Alaska",19,80,0.271739130434783,0.293478260869565,92
"daily_cases","linear_increase_sd","Alaska",19,90,0.290322580645161,0.440860215053763,93
"daily_cases","linear_increase_sd","Alaska",19,95,0.397849462365591,0.505376344086022,93
"daily_cases","linear_increase_sd","Alaska",20,80,0.293478260869565,0.260869565217391,92
"daily_cases","linear_increase_sd","Alaska",20,90,0.326086956521739,0.358695652173913,92
"daily_cases","linear_increase_sd","Alaska",20,95,0.380434782608696,0.456521739130435,92
"daily_cases","linear_increase_sd","Alaska",21,80,0.228260869565217,0.239130434782609,92
"daily_cases","linear_increase_sd","Alaska",21,90,0.268817204301075,0.290322580645161,93
"daily_cases","linear_increase_sd","Alaska",21,95,0.333333333333333,0.365591397849462,93
"daily_cases","linear_increase_sd","Alaska",22,80,0.173913043478261,0.206521739130435,92
"daily_cases","linear_increase_sd","Alaska",22,90,0.217391304347826,0.271739130434783,92
"daily_cases","linear_increase_sd","Alaska",22,95,0.228260869565217,0.315217391304348,92
"daily_cases","linear_increase_sd","Alaska",23,80,0.152173913043478,0.206521739130435,92
"daily_cases","linear_increase_sd","Alaska",23,90,0.16304347826087,0.25,92
"daily_cases","linear_increase_sd","Alaska",23,95,0.173913043478261,0.282608695652174,92
"daily_cases","linear_increase_sd","Alaska",24,80,0.141304347826087,0.184782608695652,92
"daily_cases","linear_increase_sd","Alaska",24,90,0.152173913043478,0.217391304347826,92
"daily_cases","linear_increase_sd","Alaska",24,95,0.195652173913043,0.271739130434783,92
"daily_cases","linear_increase_sd","Alaska",25,80,0.108695652173913,0.141304347826087,92
"daily_cases","linear_increase_sd","Alaska",25,90,0.16304347826087,0.206521739130435,92
"daily_cases","linear_increase_sd","Alaska",25,95,0.217391304347826,0.239130434782609,92
"daily_cases","linear_increase_sd","Alaska",26,80,0.0978260869565217,0.130434782608696,92
"daily_cases","linear_increase_sd","Alaska",26,90,0.141304347826087,0.173913043478261,92
"daily_cases","linear_increase_sd","Alaska",26,95,0.184782608695652,0.206521739130435,92
"daily_cases","linear_increase_sd","Alaska",27,80,0.130434782608696,0.130434782608696,92
"daily_cases","linear_increase_sd","Alaska",27,90,0.16304347826087,0.152173913043478,92
"daily_cases","linear_increase_sd","Alaska",27,95,0.173913043478261,0.217391304347826,92
"daily_cases","linear_increase_sd","Alaska",28,80,0.108695652173913,0.0978260869565217,92
"daily_cases","linear_increase_sd","Alaska",28,90,0.152173913043478,0.130434782608696,92
"daily_cases","linear_increase_sd","Alaska",28,95,0.173913043478261,0.152173913043478,92
"daily_cases","linear_increase_sd","Arizona",0,80,0.760869565217391,0.869565217391304,46
"daily_cases","linear_increase_sd","Arizona",0,90,0.804347826086957,0.91304347826087,46
"daily_cases","linear_increase_sd","Arizona",0,95,0.869565217391304,0.934782608695652,46
"daily_cases","linear_increase_sd","Arizona",1,80,0.697674418604651,0.86046511627907,86
"daily_cases","linear_increase_sd","Arizona",1,90,0.802325581395349,0.883720930232558,86
"daily_cases","linear_increase_sd","Arizona",1,95,0.872093023255814,0.953488372093023,86
"daily_cases","linear_increase_sd","Arizona",2,80,0.724137931034483,0.862068965517241,87
"daily_cases","linear_increase_sd","Arizona",2,90,0.816091954022989,0.896551724137931,87
"daily_cases","linear_increase_sd","Arizona",2,95,0.873563218390805,0.908045977011494,87
"daily_cases","linear_increase_sd","Arizona",3,80,0.71264367816092,0.839080459770115,87
"daily_cases","linear_increase_sd","Arizona",3,90,0.804597701149425,0.873563218390805,87
"daily_cases","linear_increase_sd","Arizona",3,95,0.862068965517241,0.896551724137931,87
"daily_cases","linear_increase_sd","Arizona",4,80,0.701149425287356,0.827586206896552,87
"daily_cases","linear_increase_sd","Arizona",4,90,0.758620689655172,0.850574712643678,87
"daily_cases","linear_increase_sd","Arizona",4,95,0.827586206896552,0.873563218390805,87
"daily_cases","linear_increase_sd","Arizona",5,80,0.689655172413793,0.793103448275862,87
"daily_cases","linear_increase_sd","Arizona",5,90,0.781609195402299,0.850574712643678,87
"daily_cases","linear_increase_sd","Arizona",5,95,0.827586206896552,0.885057471264368,87
"daily_cases","linear_increase_sd","Arizona",6,80,0.735632183908046,0.770114942528736,87
"daily_cases","linear_increase_sd","Arizona",6,90,0.804597701149425,0.816091954022989,87
"daily_cases","linear_increase_sd","Arizona",6,95,0.862068965517241,0.862068965517241,87
"daily_cases","linear_increase_sd","Arizona",7,80,0.724137931034483,0.758620689655172,87
"daily_cases","linear_increase_sd","Arizona",7,90,0.795454545454545,0.806818181818182,88
"daily_cases","linear_increase_sd","Arizona",7,95,0.829545454545455,0.829545454545455,88
"daily_cases","linear_increase_sd","Arizona",8,80,0.64367816091954,0.71264367816092,87
"daily_cases","linear_increase_sd","Arizona",8,90,0.724137931034483,0.793103448275862,87
"daily_cases","linear_increase_sd","Arizona",8,95,0.781609195402299,0.850574712643678,87
"daily_cases","linear_increase_sd","Arizona",9,80,0.620689655172414,0.724137931034483,87
"daily_cases","linear_increase_sd","Arizona",9,90,0.75,0.772727272727273,88
"daily_cases","linear_increase_sd","Arizona",9,95,0.806818181818182,0.829545454545455,88
"daily_cases","linear_increase_sd","Arizona",10,80,0.724137931034483,0.689655172413793,87
