"variable","sim_type","location","conf","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"daily_cases","linear_increase_sd","Alabama",80,0.826923076923077,0.822222222222222,0.688888888888889,0.666666666666667,0.666666666666667,0.622222222222222,0.626373626373626,0.604395604395604,0.637362637362637,0.637362637362637,0.604395604395604,0.593406593406593,0.549450549450549,0.538461538461538,0.461538461538462,0.406593406593407,0.318681318681319,0.307692307692308,0.285714285714286,0.241758241758242,0.208791208791209,0.186813186813187,0.153846153846154,0.120879120879121,0.1,0.1,0.0888888888888889,0.0777777777777778,0.0777777777777778
"daily_cases","linear_increase_sd","Alabama",90,0.923076923076923,0.9,0.811111111111111,0.777777777777778,0.766666666666667,0.7,0.681318681318681,0.67032967032967,0.692307692307692,0.703296703296703,0.659340659340659,0.637362637362637,0.604395604395604,0.615384615384615,0.56043956043956,0.483516483516484,0.406593406593407,0.340659340659341,0.362637362637363,0.296703296703297,0.274725274725275,0.21978021978022,0.186813186813187,0.153846153846154,0.164835164835165,0.133333333333333,0.1,0.0888888888888889,0.0777777777777778
"daily_cases","linear_increase_sd","Alabama",95,0.942307692307692,0.933333333333333,0.877777777777778,0.833333333333333,0.788888888888889,0.766666666666667,0.758241758241758,0.736263736263736,0.747252747252747,0.747252747252747,0.725274725274725,0.703296703296703,0.692307692307692,0.637362637362637,0.615384615384615,0.549450549450549,0.472527472527473,0.406593406593407,0.373626373626374,0.351648351648352,0.285714285714286,0.263736263736264,0.230769230769231,0.197802197802198,0.164835164835165,0.144444444444444,0.122222222222222,0.0888888888888889,0.0888888888888889
"daily_cases","linear_increase_sd","Alaska",80,0.826923076923077,0.782608695652174,0.760869565217391,0.728260869565217,0.706521739130435,0.728260869565217,0.695652173913043,0.684782608695652,0.673913043478261,0.66304347826087,0.652173913043478,0.619565217391304,0.612903225806452,0.602150537634409,0.56989247311828,0.543478260869565,0.489130434782609,0.41304347826087,0.369565217391304,0.293478260869565,0.260869565217391,0.239130434782609,0.206521739130435,0.206521739130435,0.184782608695652,0.141304347826087,0.130434782608696,0.130434782608696,0.0978260869565217
"daily_cases","linear_increase_sd","Alaska",90,0.865384615384615,0.891304347826087,0.815217391304348,0.782608695652174,0.793478260869565,0.804347826086957,0.793478260869565,0.771739130434783,0.760869565217391,0.75,0.739130434782609,0.739130434782609,0.688172043010753,0.655913978494624,0.67741935483871,0.645161290322581,0.56989247311828,0.526881720430108,0.478260869565217,0.440860215053763,0.358695652173913,0.290322580645161,0.271739130434783,0.25,0.217391304347826,0.206521739130435,0.173913043478261,0.152173913043478,0.130434782608696
"daily_cases","linear_increase_sd","Alaska",95,0.884615384615385,0.902173913043478,0.858695652173913,0.847826086956522,0.826086956521739,0.847826086956522,0.826086956521739,0.815217391304348,0.815217391304348,0.793478260869565,0.75,0.760869565217391,0.752688172043011,0.741935483870968,0.720430107526882,0.720430107526882,0.688172043010753,0.612903225806452,0.548387096774194,0.505376344086022,0.456521739130435,0.365591397849462,0.315217391304348,0.282608695652174,0.271739130434783,0.239130434782609,0.206521739130435,0.217391304347826,0.152173913043478
"daily_cases","linear_increase_sd","Arizona",80,0.869565217391304,0.86046511627907,0.862068965517241,0.839080459770115,0.827586206896552,0.793103448275862,0.770114942528736,0.758620689655172,0.71264367816092,0.724137931034483,0.689655172413793,0.689655172413793,0.64367816091954,0.597701149425287,0.574712643678161,0.563218390804598,0.517241379310345,0.436781609195402,0.402298850574713,0.32183908045977,0.252873563218391,0.195402298850575,0.195402298850575,0.195402298850575,0.206896551724138,0.218390804597701,0.183908045977011,0.206896551724138,0.183908045977011
"daily_cases","linear_increase_sd","Arizona",90,0.91304347826087,0.883720930232558,0.896551724137931,0.873563218390805,0.850574712643678,0.850574712643678,0.816091954022989,0.806818181818182,0.793103448275862,0.772727272727273,0.784090909090909,0.770114942528736,0.724137931034483,0.71264367816092,0.659090909090909,0.632183908045977,0.597701149425287,0.551724137931034,0.471264367816092,0.425287356321839,0.367816091954023,0.298850574712644,0.241379310344828,0.252873563218391,0.241379310344828,0.241379310344828,0.218390804597701,0.241379310344828,0.218390804597701
"daily_cases","linear_increase_sd","Arizona",95,0.934782608695652,0.953488372093023,0.908045977011494,0.896551724137931,0.873563218390805,0.885057471264368,0.862068965517241,0.829545454545455,0.850574712643678,0.829545454545455,0.818181818181818,0.804597701149425,0.793103448275862,0.758620689655172,0.727272727272727,0.71264367816092,0.666666666666667,0.64367816091954,0.574712643678161,0.517241379310345,0.436781609195402,0.390804597701149,0.367816091954023,0.28735632183908,0.252873563218391,0.264367816091954,0.252873563218391,0.241379310344828,0.241379310344828
"daily_cases","linear_increase_sd","Arkansas",80,0.884615384615385,0.879120879120879,0.868131868131868,0.824175824175824,0.824175824175824,0.835164835164835,0.782608695652174,0.771739130434783,0.815217391304348,0.804347826086957,0.793478260869565,0.804347826086957,0.793478260869565,0.782608695652174,0.782608695652174,0.782608695652174,0.728260869565217,0.695652173913043,0.641304347826087,0.554347826086957,0.543478260869565,0.456521739130435,0.423913043478261,0.369565217391304,0.347826086956522,0.326086956521739,0.304347826086957,0.271739130434783,0.25
"daily_cases","linear_increase_sd","Arkansas",90,0.942307692307692,0.934065934065934,0.901098901098901,0.868131868131868,0.879120879120879,0.879120879120879,0.858695652173913,0.847826086956522,0.869565217391304,0.869565217391304,0.826086956521739,0.826086956521739,0.815217391304348,0.83695652173913,0.83695652173913,0.815217391304348,0.782608695652174,0.782608695652174,0.760869565217391,0.717391304347826,0.66304347826087,0.58695652173913,0.521739130434783,0.467391304347826,0.434782608695652,0.434782608695652,0.369565217391304,0.358695652173913,0.326086956521739
"daily_cases","linear_increase_sd","Arkansas",95,0.942307692307692,0.934065934065934,0.923076923076923,0.901098901098901,0.89010989010989,0.912087912087912,0.902173913043478,0.891304347826087,0.891304347826087,0.880434782608696,0.880434782608696,0.858695652173913,0.83695652173913,0.858695652173913,0.83695652173913,0.83695652173913,0.83695652173913,0.815217391304348,0.782608695652174,0.771739130434783,0.739130434782609,0.695652173913043,0.641304347826087,0.554347826086957,0.543478260869565,0.478260869565217,0.456521739130435,0.41304347826087,0.402173913043478
"daily_cases","linear_increase_sd","California",80,0.769230769230769,0.711111111111111,0.604395604395604,0.56043956043956,0.527472527472527,0.483516483516484,0.43956043956044,0.406593406593407,0.406593406593407,0.373626373626374,0.32967032967033,0.318681318681319,0.307692307692308,0.318681318681319,0.318681318681319,0.32967032967033,0.307692307692308,0.296703296703297,0.241758241758242,0.175824175824176,0.175824175824176,0.153846153846154,0.131868131868132,0.120879120879121,0.10989010989011,0.10989010989011,0.10989010989011,0.0879120879120879,0.0769230769230769
"daily_cases","linear_increase_sd","California",90,0.807692307692308,0.777777777777778,0.714285714285714,0.648351648351648,0.615384615384615,0.604395604395604,0.538461538461538,0.538461538461538,0.538461538461538,0.494505494505495,0.417582417582418,0.417582417582418,0.373626373626374,0.362637362637363,0.351648351648352,0.362637362637363,0.351648351648352,0.340659340659341,0.32967032967033,0.241758241758242,0.21978021978022,0.186813186813187,0.142857142857143,0.131868131868132,0.131868131868132,0.120879120879121,0.131868131868132,0.120879120879121,0.10989010989011
"daily_cases","linear_increase_sd","California",95,0.865384615384615,0.822222222222222,0.758241758241758,0.692307692307692,0.67032967032967,0.67032967032967,0.604395604395604,0.604395604395604,0.571428571428571,0.56043956043956,0.505494505494505,0.516483516483517,0.450549450549451,0.428571428571429,0.406593406593407,0.406593406593407,0.384615384615385,0.384615384615385,0.340659340659341,0.307692307692308,0.21978021978022,0.197802197802198,0.164835164835165,0.164835164835165,0.153846153846154,0.131868131868132,0.131868131868132,0.120879120879121,0.120879120879121
"daily_cases","linear_increase_sd","Colorado",80,0.903846153846154,0.888888888888889,0.857142857142857,0.802197802197802,0.736263736263736,0.736263736263736,0.747252747252747,0.692307692307692,0.67032967032967,0.648351648351648,0.637362637362637,0.593406593406593,0.593406593406593,0.538461538461538,0.527472527472527,0.494505494505495,0.461538461538462,0.417582417582418,0.395604395604396,0.32967032967033,0.252747252747253,0.241758241758242,0.230769230769231,0.186813186813187,0.153846153846154,0.131868131868132,0.120879120879121,0.10989010989011,0.0989010989010989
"daily_cases","linear_increase_sd","Colorado",90,0.942307692307692,0.922222222222222,0.901098901098901,0.89010989010989,0.912087912087912,0.78021978021978,0.813186813186813,0.791208791208791,0.791208791208791,0.736263736263736,0.725274725274725,0.725274725274725,0.681318681318681,0.659340659340659,0.637362637362637,0.582417582417582,0.527472527472527,0.472527472527473,0.43956043956044,0.406593406593407,0.351648351648352,0.263736263736264,0.252747252747253,0.197802197802198,0.164835164835165,0.164835164835165,0.153846153846154,0.120879120879121,0.120879120879121
